TDB_past_J2000 sc_2_earth_LVLH_1 sc_2_earth_LVLH_2 sc_2_earth_LVLH_3
922756271.18565 40281342.1376289 87834249.025617 6108798.89042751
922756281.18565 40336427.1941866 87834231.7556032 5733835.89670391
922756291.18565 40388011.763639 87834215.1582641 5358442.07579347
922756301.18565 40436093.1342145 87834199.2383036 4982650.7199164
922756311.18565 40480668.9216958 87834184.0004255 4606495.12256602
922756321.18565 40521737.0689777 87834169.4491574 4230008.5785811
922756331.18565 40559295.8457008 87834155.5890353 3853224.37682777
922756341.18565 40593343.8477527 87834142.4244383 3476175.80030757
922756351.18565 40623879.9967914 87834129.959678 3098896.12081289
922756361.18565 40650903.5397127 87834118.1989967 2721418.59516321
922756371.18565 40674414.0480613 87834107.1464915 2343776.46417289
922756381.18565 40694411.4174369 87834096.8062055 1966002.94618349
922756391.18565 40710895.8668347 87834087.1820453 1588131.23645198
922756401.18565 40723867.9379672 87834078.2778201 1210194.50226142
922756411.18565 40733328.4945422 87834070.09722 832225.880391912
922756421.18565 40739278.7215041 87834062.6438235 454258.47304296
922756431.18565 40741720.1242447 87834055.9210796 76325.345705701
922756441.18565 40740654.5277717 87834049.9323156 -301540.476883585
922756451.18565 40736084.0758354 87834044.6807281 -679306.014785507
922756461.18565 40728011.2300578 87834040.1693764 -1056938.33337664
922756471.18565 40716438.7689574 87834036.4011774 -1434404.55009934
922756481.18565 40701369.7870298 87834033.3789107 -1811671.83416673
922756491.18565 40682807.6936954 87834031.1051944 -2188707.41289748
922756501.18565 40660756.2123185 87834029.5825121 -2565478.57179294
922756511.18565 40635219.3790688 87834028.8131539 -2941952.66123008
922756521.18565 40606201.5419101 87834028.7992872 -3318097.09534484
922756531.18565 40573707.3593859 87834029.542885 -3693879.35869641
922756541.18565 40537741.7994882 87834031.0457438 -4069267.00786252
922756551.18565 40498310.13848 87834033.3095069 -4444227.67378768
922756561.18565 40455417.9596064 87834036.335591 -4818729.06685728
922756571.18565 40409071.1519162 87834040.1252718 -5192738.97727952
922756581.18565 40359275.9089056 87834044.6796071 -5566225.28012936
922756591.18565 40306038.7272037 87834049.9994319 -5939155.93804801
922756601.18565 40249366.4052911 87834056.0854412 -6311499.00236902
922756611.18565 40189266.0420096 87834062.9380463 -6683222.61890473
922756621.18565 40125745.0352555 87834070.5574963 -7054295.02827453
922756631.18565 40058811.0805062 87834078.9438309 -7424684.56972439
